backend,test,iterations,time
gcc-sigaltstack,yield,100000000,8.732787
gcc-sigaltstack,yield,100000000,8.725865
gcc-sigaltstack,yield,100000000,8.748910
gcc-sigaltstack,nesting,10000,19.580083
gcc-sigaltstack,nesting,10000,20.146967
gcc-sigaltstack,nesting,10000,19.757396
gcc-sigaltstack,nesting,10000,19.729548
gcc-sigaltstack,nesting,10000,19.604229
gcc-sigaltstack,nesting,10000,19.702799
gcc-sigaltstack,nesting,10000,20.483118
gcc-sigaltstack,nesting,10000,20.860252
gcc-sigaltstack,nesting,10000,19.409462
gcc-sigaltstack,nesting,10000,19.532550
gcc-sigaltstack-nopool,lifecycle,1000000,1.804020
gcc-sigaltstack-nopool,lifecycle,1000000,1.783197
gcc-sigaltstack-nopool,lifecycle,1000000,1.806361
gcc-sigaltstack-nopool,lifecycle,1000000,1.804876
gcc-sigaltstack-nopool,lifecycle,1000000,1.798476
gcc-sigaltstack-nopool,lifecycle,1000000,1.788323
gcc-sigaltstack-nopool,lifecycle,1000000,1.806740
gcc-sigaltstack-nopool,lifecycle,1000000,1.801547
gcc-sigaltstack-nopool,lifecycle,1000000,1.780422
gcc-sigaltstack-nopool,lifecycle,1000000,1.787461
gcc-sigaltstack-nopool,yield,100000000,8.539617
gcc-sigaltstack-nopool,yield,100000000,8.518435
gcc-sigaltstack-nopool,yield,100000000,8.531045
gcc-sigaltstack-nopool,yield,100000000,8.508198
gcc-sigaltstack-nopool,yield,100000000,8.533493
gcc-sigaltstack-nopool,yield,100000000,8.509914
gcc-sigaltstack-nopool,yield,100000000,8.472107
gcc-sigaltstack-nopool,yield,100000000,8.521148
gcc-sigaltstack-nopool,yield,100000000,8.503040
gcc-sigaltstack-nopool,yield,100000000,8.501920
gcc-sigaltstack-nopool,nesting,10000,57.705104
gcc-sigaltstack-nopool,nesting,10000,58.020694
gcc-sigaltstack-nopool,nesting,10000,57.177291
gcc-sigaltstack-nopool,nesting,10000,59.078879
gcc-sigaltstack-nopool,nesting,10000,61.585764
gcc-sigaltstack-nopool,nesting,10000,57.689532
gcc-sigaltstack-nopool,nesting,10000,57.585772
gcc-sigaltstack-nopool,nesting,10000,58.770192
gcc-sigaltstack-nopool,nesting,10000,58.385499
gcc-sigaltstack-nopool,nesting,10000,58.306687
gcc-ucontext,lifecycle,1000000,0.108004
gcc-ucontext,lifecycle,1000000,0.107382
gcc-ucontext,lifecycle,1000000,0.107386
gcc-ucontext,lifecycle,1000000,0.109822
gcc-ucontext,lifecycle,1000000,0.107722
gcc-ucontext,lifecycle,1000000,0.107996
gcc-ucontext,lifecycle,1000000,0.107997
gcc-ucontext,lifecycle,1000000,0.107810
gcc-ucontext,lifecycle,1000000,0.108037
gcc-ucontext,lifecycle,1000000,0.107629
gcc-ucontext,yield,100000000,9.118182
gcc-ucontext,yield,100000000,8.494372
gcc-ucontext,yield,100000000,8.427392
gcc-ucontext,yield,100000000,8.470350
gcc-ucontext,yield,100000000,8.427143
gcc-ucontext,yield,100000000,8.415498
gcc-ucontext,yield,100000000,8.430046
gcc-ucontext,yield,100000000,8.401610
gcc-ucontext,yield,100000000,8.433556
gcc-ucontext,yield,100000000,8.402443
gcc-ucontext,nesting,10000,6.846578
gcc-ucontext,nesting,10000,6.850722
gcc-ucontext,nesting,10000,6.830570
gcc-ucontext,nesting,10000,6.826894
gcc-ucontext,nesting,10000,6.817921
gcc-ucontext,nesting,10000,6.818350
gcc-ucontext,nesting,10000,6.823143
gcc-ucontext,nesting,10000,6.813261
gcc-ucontext,nesting,10000,6.835028
gcc-ucontext,nesting,10000,6.833156
gcc-ucontext-nopool,lifecycle,1000000,0.463442
gcc-ucontext-nopool,lifecycle,1000000,0.465275
gcc-ucontext-nopool,lifecycle,1000000,0.465328
gcc-ucontext-nopool,lifecycle,1000000,0.464305
gcc-ucontext-nopool,lifecycle,1000000,0.463746
gcc-ucontext-nopool,lifecycle,1000000,0.465556
gcc-ucontext-nopool,lifecycle,1000000,0.467027
gcc-ucontext-nopool,lifecycle,1000000,0.464923
gcc-ucontext-nopool,lifecycle,1000000,0.464411
gcc-ucontext-nopool,lifecycle,1000000,0.464190
gcc-ucontext-nopool,yield,100000000,8.418218
gcc-ucontext-nopool,yield,100000000,8.361035
gcc-ucontext-nopool,yield,100000000,8.397916
gcc-ucontext-nopool,yield,100000000,8.355473
gcc-ucontext-nopool,yield,100000000,8.466824
gcc-ucontext-nopool,yield,100000000,8.329886
gcc-ucontext-nopool,yield,100000000,8.338565
gcc-ucontext-nopool,yield,100000000,8.353920
gcc-ucontext-nopool,yield,100000000,8.351994
gcc-ucontext-nopool,yield,100000000,8.349811
gcc-ucontext-nopool,nesting,10000,39.027536
gcc-ucontext-nopool,nesting,10000,39.226224
gcc-ucontext-nopool,nesting,10000,38.836828
gcc-ucontext-nopool,nesting,10000,38.872204
gcc-ucontext-nopool,nesting,10000,39.339893
gcc-ucontext-nopool,nesting,10000,38.945828
gcc-ucontext-nopool,nesting,10000,38.945321
gcc-ucontext-nopool,nesting,10000,38.915537
gcc-ucontext-nopool,nesting,10000,38.859362
gcc-ucontext-nopool,nesting,10000,39.002088
gcc-gthread-nopool,lifecycle,1000000,10.892294
gcc-gthread-nopool,lifecycle,1000000,10.726551
gcc-gthread-nopool,lifecycle,1000000,10.785765
gcc-gthread-nopool,lifecycle,1000000,10.761706
gcc-gthread-nopool,lifecycle,1000000,10.753019
gcc-gthread-nopool,lifecycle,1000000,10.890348
gcc-gthread-nopool,lifecycle,1000000,10.750763
gcc-gthread-nopool,lifecycle,1000000,10.907620
gcc-gthread-nopool,lifecycle,1000000,10.845529
gcc-gthread-nopool,lifecycle,1000000,10.708629
gcc-gthread-nopool,yield,100000000,567.293633
gcc-gthread-nopool,yield,100000000,569.639125
gcc-gthread-nopool,yield,100000000,567.233662
gcc-gthread-nopool,yield,100000000,571.673357
gcc-gthread-nopool,yield,100000000,572.788237
gcc-gthread-nopool,yield,100000000,568.413983
gcc-gthread-nopool,yield,100000000,579.544994
gcc-gthread-nopool,yield,100000000,568.306430
gcc-gthread-nopool,yield,100000000,568.091038
gcc-gthread-nopool,yield,100000000,570.399918
gcc-gthread-nopool,nesting,10000,28296.778681
gcc-gthread-nopool,nesting,10000,28241.928733
gcc-gthread-nopool,nesting,10000,28319.697127
gcc-gthread-nopool,nesting,10000,28098.932234
gcc-gthread-nopool,nesting,10000,28387.952551
cpc-cpc,lifecycle,1000000,0.048917
cpc-cpc,lifecycle,1000000,0.046484
cpc-cpc,lifecycle,1000000,0.046549
cpc-cpc,lifecycle,1000000,0.046362
cpc-cpc,lifecycle,1000000,0.047238
cpc-cpc,lifecycle,1000000,0.046527
cpc-cpc,lifecycle,1000000,0.046474
cpc-cpc,lifecycle,1000000,0.049154
cpc-cpc,lifecycle,1000000,0.046420
cpc-cpc,lifecycle,1000000,0.046409
cpc-cpc,yield,100000000,1.909208
cpc-cpc,yield,100000000,1.908957
cpc-cpc,yield,100000000,1.884360
cpc-cpc,yield,100000000,1.928724
cpc-cpc,yield,100000000,1.973576
cpc-cpc,yield,100000000,1.914502
cpc-cpc,yield,100000000,1.913633
cpc-cpc,yield,100000000,1.926013
cpc-cpc,yield,100000000,1.886496
cpc-cpc,yield,100000000,1.904768
cpc-cpc,nesting,10000,0.000678
cpc-cpc,nesting,10000,0.000684
cpc-cpc,nesting,10000,0.000668
cpc-cpc,nesting,10000,0.000672
cpc-cpc,nesting,10000,0.000697
cpc-cpc,nesting,10000,0.000684
cpc-cpc,nesting,10000,0.000687
cpc-cpc,nesting,10000,0.000686
cpc-cpc,nesting,10000,0.000684
cpc-cpc,nesting,10000,0.000692
cpc-cpc-nopool,lifecycle,1000000,0.078586
cpc-cpc-nopool,lifecycle,1000000,0.074415
cpc-cpc-nopool,lifecycle,1000000,0.075177
cpc-cpc-nopool,lifecycle,1000000,0.074535
cpc-cpc-nopool,lifecycle,1000000,0.074314
cpc-cpc-nopool,lifecycle,1000000,0.074576
cpc-cpc-nopool,lifecycle,1000000,0.074227
cpc-cpc-nopool,lifecycle,1000000,0.075385
cpc-cpc-nopool,lifecycle,1000000,0.074371
cpc-cpc-nopool,lifecycle,1000000,0.074351
cpc-cpc-nopool,yield,100000000,1.950218
cpc-cpc-nopool,yield,100000000,2.455958
cpc-cpc-nopool,yield,100000000,1.948278
cpc-cpc-nopool,yield,100000000,1.959267
cpc-cpc-nopool,yield,100000000,1.917344
cpc-cpc-nopool,yield,100000000,1.943907
cpc-cpc-nopool,yield,100000000,1.959817
cpc-cpc-nopool,yield,100000000,1.919951
cpc-cpc-nopool,yield,100000000,1.951384
cpc-cpc-nopool,yield,100000000,1.919369
cpc-cpc-nopool,nesting,10000,0.948026
cpc-cpc-nopool,nesting,10000,0.939751
cpc-cpc-nopool,nesting,10000,0.943952
cpc-cpc-nopool,nesting,10000,0.938964
cpc-cpc-nopool,nesting,10000,0.942873
cpc-cpc-nopool,nesting,10000,0.940552
cpc-cpc-nopool,nesting,10000,0.942437
cpc-cpc-nopool,nesting,10000,0.943945
cpc-cpc-nopool,nesting,10000,1.015624
cpc-cpc-nopool,nesting,10000,0.939331
